session_id,miti_dimension,score,error
MI-MAINEXP-37532851,Softening Sustain Talk,4,0
MI-MAINEXP-10056661,Empathy,4,0
MI-MAINEXP-17285331,Empathy,4,0
MI-MAINEXP-37532851,Partnership,4,0
MI-MAINEXP-62334696,Empathy,4,0
MI-MAINEXP-62361872,Partnership,4,0
MI-MAINEXP-10239555,Cultivating Change Talk,2,0
MI-MAINEXP-17784326,Cultivating Change Talk,2,0
MI-MAINEXP-37532851,Empathy,4,0
MI-MAINEXP-62361872,Softening Sustain Talk,4,0
MI-MAINEXP-62361872,Empathy,4,0
MI-MAINEXP-10239555,Softening Sustain Talk,4,0
MI-MAINEXP-62986822,Cultivating Change Talk,2,0
MI-MAINEXP-17784326,Softening Sustain Talk,4,0
MI-MAINEXP-10239555,Partnership,2,0
MI-MAINEXP-37591486,Cultivating Change Talk,2,0
MI-MAINEXP-17784326,Partnership,4,0
MI-MAINEXP-10239555,Empathy,3,0
MI-MAINEXP-17784326,Empathy,4,0
MI-MAINEXP-37591486,Softening Sustain Talk,4,0
MI-MAINEXP-37591486,Partnership,3,0
MI-MAINEXP-62986822,Softening Sustain Talk,3,0
MI-MAINEXP-17795866,Cultivating Change Talk,2,0
MI-MAINEXP-10427461,Cultivating Change Talk,2,0
MI-MAINEXP-62986822,Partnership,4,0
MI-MAINEXP-37591486,Empathy,4,0
MI-MAINEXP-62986822,Empathy,4,0
MI-MAINEXP-37616505,Cultivating Change Talk,2,0
MI-MAINEXP-17795866,Softening Sustain Talk,4,0
MI-MAINEXP-63088722,Cultivating Change Talk,2,0
MI-MAINEXP-17795866,Partnership,3,0
MI-MAINEXP-10427461,Softening Sustain Talk,4,0
MI-MAINEXP-37616505,Softening Sustain Talk,4,0
MI-MAINEXP-37616505,Partnership,4,0
MI-MAINEXP-10573054,Softening Sustain Talk,4,0
MI-MAINEXP-17795866,Empathy,3,0
MI-MAINEXP-10427461,Partnership,4,0
MI-MAINEXP-10427461,Empathy,4,0
MI-MAINEXP-63088722,Partnership,4,0
MI-MAINEXP-63088722,Softening Sustain Talk,4,0
MI-MAINEXP-17808329,Cultivating Change Talk,2,0
MI-MAINEXP-37616505,Empathy,4,0
MI-MAINEXP-63088722,Empathy,4,0
MI-MAINEXP-10458675,Cultivating Change Talk,2,0
MI-MAINEXP-17808329,Softening Sustain Talk,4,0
MI-MAINEXP-3762036,Cultivating Change Talk,2,0
MI-MAINEXP-10458675,Softening Sustain Talk,4,0
MI-MAINEXP-63437932,Cultivating Change Talk,2,0
MI-MAINEXP-17808329,Partnership,3,0
MI-MAINEXP-63437932,Softening Sustain Talk,4,0
MI-MAINEXP-3762036,Softening Sustain Talk,4,0
MI-MAINEXP-17808329,Empathy,4,0
MI-MAINEXP-10458675,Empathy,4,0
MI-MAINEXP-17850780,Cultivating Change Talk,2,0
MI-MAINEXP-10458675,Partnership,4,0
MI-MAINEXP-63437932,Partnership,3,0
MI-MAINEXP-3762036,Empathy,3,0
MI-MAINEXP-63437932,Empathy,3,0
MI-MAINEXP-17850780,Softening Sustain Talk,4,0
MI-MAINEXP-3762036,Partnership,4,0
MI-MAINEXP-10573054,Partnership,4,0
MI-MAINEXP-10573054,Cultivating Change Talk,2,0
MI-MAINEXP-37672026,Cultivating Change Talk,2,0
MI-MAINEXP-63476507,Cultivating Change Talk,2,0
MI-MAINEXP-17850780,Partnership,4,0
MI-MAINEXP-37672026,Softening Sustain Talk,4,0
MI-MAINEXP-10573054,Empathy,4,0
MI-MAINEXP-17850780,Empathy,4,0
MI-MAINEXP-63476507,Partnership,4,0
MI-MAINEXP-63476507,Softening Sustain Talk,4,0
MI-MAINEXP-37672026,Partnership,4,0
MI-MAINEXP-10712170,Cultivating Change Talk,2,0
MI-MAINEXP-37672026,Empathy,4,0
MI-MAINEXP-18081274,Cultivating Change Talk,2,0
MI-MAINEXP-63476507,Empathy,3,0
MI-MAINEXP-63799291,Cultivating Change Talk,2,0
MI-MAINEXP-10712170,Softening Sustain Talk,4,0
MI-MAINEXP-18081274,Partnership,4,0
MI-MAINEXP-37794623,Cultivating Change Talk,2,0
MI-MAINEXP-18081274,Softening Sustain Talk,4,0
MI-MAINEXP-10712170,Partnership,4,0
MI-MAINEXP-10712170,Empathy,4,0
MI-MAINEXP-63799291,Softening Sustain Talk,4,0
MI-MAINEXP-37794623,Softening Sustain Talk,4,0
MI-MAINEXP-18081274,Empathy,3,0
MI-MAINEXP-37794623,Partnership,3,0
MI-MAINEXP-63799291,Partnership,4,0
MI-MAINEXP-18086633,Cultivating Change Talk,2,0
MI-MAINEXP-37794623,Empathy,4,0
MI-MAINEXP-63799291,Empathy,3,0
MI-MAINEXP-10788583,Cultivating Change Talk,1,0
MI-MAINEXP-10788583,Softening Sustain Talk,3,0
MI-MAINEXP-37808095,Cultivating Change Talk,1,0
MI-MAINEXP-10788583,Partnership,3,0
MI-MAINEXP-63832372,Cultivating Change Talk,2,0
MI-MAINEXP-18086633,Partnership,3,0
MI-MAINEXP-18086633,Softening Sustain Talk,4,0
MI-MAINEXP-37808095,Softening Sustain Talk,4,0
MI-MAINEXP-63832372,Softening Sustain Talk,4,0
MI-MAINEXP-10788583,Empathy,3,0
MI-MAINEXP-63832372,Partnership,4,0
MI-MAINEXP-18086633,Empathy,4,0
MI-MAINEXP-37808095,Partnership,4,0
MI-MAINEXP-85757667,Partnership,2,0
MI-MAINEXP-55819434,Softening Sustain Talk,4,0
MI-MAINEXP-85757667,Empathy,4,0
MI-MAINEXP-55819434,Empathy,4,0
MI-MAINEXP-55819434,Partnership,4,0
MI-MAINEXP-56136385,Cultivating Change Talk,2,0
MI-MAINEXP-85794077,Cultivating Change Talk,2,0
MI-MAINEXP-85794077,Partnership,4,0
MI-MAINEXP-56136385,Partnership,3,0
MI-MAINEXP-56136385,Softening Sustain Talk,4,0
MI-MAINEXP-85794077,Softening Sustain Talk,4,0
MI-MAINEXP-85794077,Empathy,4,0
MI-MAINEXP-56136385,Empathy,4,0
MI-MAINEXP-56172585,Cultivating Change Talk,2,0
MI-MAINEXP-8581855,Cultivating Change Talk,2,0
MI-MAINEXP-56172585,Softening Sustain Talk,4,0
MI-MAINEXP-56172585,Partnership,4,0
MI-MAINEXP-8581855,Partnership,4,0
MI-MAINEXP-8581855,Empathy,4,0
MI-MAINEXP-8581855,Softening Sustain Talk,4,0
MI-MAINEXP-56172585,Empathy,4,0
MI-MAINEXP-85911780,Cultivating Change Talk,2,0
MI-MAINEXP-56283293,Cultivating Change Talk,2,0
MI-MAINEXP-85911780,Partnership,3,0
MI-MAINEXP-85911780,Softening Sustain Talk,4,0
MI-MAINEXP-85911780,Empathy,4,0
MI-MAINEXP-56283293,Partnership,4,0
MI-MAINEXP-56283293,Softening Sustain Talk,4,0
MI-MAINEXP-56283293,Empathy,4,0
MI-MAINEXP-86085677,Cultivating Change Talk,2,0
MI-MAINEXP-56368958,Cultivating Change Talk,2,0
MI-MAINEXP-86085677,Partnership,4,0
MI-MAINEXP-56368958,Empathy,4,0
MI-MAINEXP-56368958,Partnership,4,0
MI-MAINEXP-86085677,Softening Sustain Talk,4,0
MI-MAINEXP-86085677,Empathy,4,0
MI-MAINEXP-56368958,Softening Sustain Talk,4,0
MI-MAINEXP-86113900,Cultivating Change Talk,2,0
MI-MAINEXP-56658284,Cultivating Change Talk,2,0
MI-MAINEXP-86113900,Partnership,4,0
MI-MAINEXP-56658284,Empathy,4,0
MI-MAINEXP-86113900,Empathy,4,0
MI-MAINEXP-56658284,Partnership,3,0
MI-MAINEXP-56658284,Softening Sustain Talk,3,0
MI-MAINEXP-86113900,Softening Sustain Talk,3,0
MI-MAINEXP-56935924,Cultivating Change Talk,2,0
MI-MAINEXP-86153874,Cultivating Change Talk,2,0
MI-MAINEXP-86153874,Partnership,3,0
MI-MAINEXP-56935924,Partnership,2,0
MI-MAINEXP-56935924,Softening Sustain Talk,4,0
MI-MAINEXP-86153874,Empathy,4,0
MI-MAINEXP-56935924,Empathy,4,0
MI-MAINEXP-86233718,Cultivating Change Talk,2,0
MI-MAINEXP-57105892,Cultivating Change Talk,2,0
MI-MAINEXP-86233718,Partnership,4,0
MI-MAINEXP-86233718,Empathy,3,0
MI-MAINEXP-57105892,Softening Sustain Talk,4,0
MI-MAINEXP-86233718,Softening Sustain Talk,4,0
MI-MAINEXP-57105892,Empathy,4,0
MI-MAINEXP-57105892,Partnership,4,0
MI-MAINEXP-86241758,Cultivating Change Talk,1,0
MI-MAINEXP-33135219,Partnership,4,0
MI-MAINEXP-3460019,Empathy,4,0
MI-MAINEXP-86153874,Softening Sustain Talk,4,0
MI-MAINEXP-59301000,Partnership,4,0
MI-MAINEXP-14643736,Cultivating Change Talk,1,0
MI-MAINEXP-34602935,Cultivating Change Talk,2,0
MI-MAINEXP-14643736,Softening Sustain Talk,4,0
MI-MAINEXP-33135219,Empathy,4,0
MI-MAINEXP-59301000,Empathy,3,0
MI-MAINEXP-14643736,Partnership,4,0
MI-MAINEXP-33258416,Cultivating Change Talk,2,0
MI-MAINEXP-34602935,Softening Sustain Talk,4,0
MI-MAINEXP-14643736,Empathy,4,0
MI-MAINEXP-59333727,Cultivating Change Talk,2,0
MI-MAINEXP-33258416,Softening Sustain Talk,4,0
MI-MAINEXP-14697155,Cultivating Change Talk,1,0
MI-MAINEXP-34602935,Partnership,4,0
MI-MAINEXP-33258416,Partnership,4,0
MI-MAINEXP-59333727,Partnership,3,0
MI-MAINEXP-34602935,Empathy,4,0
MI-MAINEXP-33258416,Empathy,4,0
MI-MAINEXP-59333727,Empathy,4,0
MI-MAINEXP-34657695,Cultivating Change Talk,2,0
MI-MAINEXP-14697155,Partnership,2,0
MI-MAINEXP-14697155,Softening Sustain Talk,4,0
MI-MAINEXP-33260864,Cultivating Change Talk,2,0
MI-MAINEXP-34657695,Softening Sustain Talk,4,0
MI-MAINEXP-14697155,Empathy,4,0
MI-MAINEXP-59369349,Cultivating Change Talk,1,0
MI-MAINEXP-34657695,Partnership,4,0
MI-MAINEXP-14750235,Cultivating Change Talk,2,0
MI-MAINEXP-59369349,Softening Sustain Talk,4,0
MI-MAINEXP-33260864,Softening Sustain Talk,4,0
MI-MAINEXP-34657695,Empathy,4,0
MI-MAINEXP-59369349,Partnership,4,0
MI-MAINEXP-33260864,Partnership,3,0
MI-MAINEXP-33260864,Empathy,4,0
MI-MAINEXP-14750235,Softening Sustain Talk,4,0
MI-MAINEXP-33322111,Cultivating Change Talk,2,0
MI-MAINEXP-59369349,Empathy,4,0
MI-MAINEXP-14750235,Partnership,4,0
MI-MAINEXP-34796460,Cultivating Change Talk,2,0
MI-MAINEXP-14750235,Empathy,4,0
MI-MAINEXP-34796460,Softening Sustain Talk,4,0
MI-MAINEXP-59333727,Softening Sustain Talk,4,0
MI-MAINEXP-34796460,Partnership,4,0
MI-MAINEXP-59798525,Cultivating Change Talk,2,0
MI-MAINEXP-33322111,Softening Sustain Talk,4,0
MI-MAINEXP-34796460,Empathy,4,0
MI-MAINEXP-59798525,Softening Sustain Talk,4,0
MI-MAINEXP-33322111,Empathy,4,0
MI-MAINEXP-59798525,Partnership,4,0
MI-MAINEXP-33322111,Partnership,4,0
MI-MAINEXP-14915732,Cultivating Change Talk,2,0
MI-MAINEXP-14915732,Softening Sustain Talk,4,0
MI-MAINEXP-34823490,Cultivating Change Talk,2,0
MI-MAINEXP-59798525,Empathy,4,0
MI-MAINEXP-14915732,Partnership,4,0
MI-MAINEXP-33329693,Cultivating Change Talk,2,0
MI-MAINEXP-60034077,Cultivating Change Talk,2,0
MI-MAINEXP-14915732,Empathy,4,0
MI-MAINEXP-34823490,Partnership,4,0
MI-MAINEXP-15014386,Cultivating Change Talk,1,0
MI-MAINEXP-33329693,Softening Sustain Talk,4,0
MI-MAINEXP-34823490,Empathy,4,0
MI-MAINEXP-33329693,Partnership,4,0
MI-MAINEXP-60034077,Partnership,4,0
MI-MAINEXP-34823490,Softening Sustain Talk,4,0
MI-MAINEXP-33329693,Empathy,4,0
MI-MAINEXP-60034077,Empathy,4,0
MI-MAINEXP-15014386,Softening Sustain Talk,4,0
MI-MAINEXP-35064950,Cultivating Change Talk,2,0
MI-MAINEXP-15014386,Partnership,4,0
MI-MAINEXP-60034077,Softening Sustain Talk,4,0
MI-MAINEXP-33475218,Cultivating Change Talk,2,0
MI-MAINEXP-60089602,Cultivating Change Talk,2,0
MI-MAINEXP-15014386,Empathy,3,0
MI-MAINEXP-35064950,Softening Sustain Talk,4,0
MI-MAINEXP-35064950,Partnership,4,0
MI-MAINEXP-33475218,Softening Sustain Talk,4,0
MI-MAINEXP-60089602,Softening Sustain Talk,4,0
MI-MAINEXP-15060880,Cultivating Change Talk,2,0
MI-MAINEXP-35064950,Empathy,4,0
MI-MAINEXP-33475218,Partnership,4,0
MI-MAINEXP-33475218,Empathy,4,0
MI-MAINEXP-60089602,Partnership,4,0
MI-MAINEXP-35286029,Cultivating Change Talk,2,0
MI-MAINEXP-15060880,Softening Sustain Talk,4,0
MI-MAINEXP-60089602,Empathy,4,0
MI-MAINEXP-33580893,Cultivating Change Talk,2,0
MI-MAINEXP-35286029,Softening Sustain Talk,4,0
MI-MAINEXP-15060880,Empathy,4,0
MI-MAINEXP-60113850,Cultivating Change Talk,1,0
MI-MAINEXP-35286029,Partnership,4,0
MI-MAINEXP-15060880,Partnership,4,0
MI-MAINEXP-33580893,Softening Sustain Talk,4,0
MI-MAINEXP-35286029,Empathy,3,0
MI-MAINEXP-33580893,Partnership,4,0
MI-MAINEXP-15232275,Cultivating Change Talk,2,0
MI-MAINEXP-60113850,Softening Sustain Talk,4,0
MI-MAINEXP-33580893,Empathy,4,0
MI-MAINEXP-60113850,Empathy,4,0
MI-MAINEXP-15232275,Softening Sustain Talk,4,0
MI-MAINEXP-60113850,Partnership,4,0
MI-MAINEXP-3530150,Cultivating Change Talk,2,0
MI-MAINEXP-15232275,Partnership,3,0
MI-MAINEXP-33586904,Cultivating Change Talk,2,0
MI-MAINEXP-3530150,Softening Sustain Talk,4,0
MI-MAINEXP-15232275,Empathy,4,0
MI-MAINEXP-60129133,Cultivating Change Talk,2,0
MI-MAINEXP-15257201,Cultivating Change Talk,1,0
MI-MAINEXP-3530150,Empathy,3,0
MI-MAINEXP-33586904,Partnership,4,0
MI-MAINEXP-33586904,Softening Sustain Talk,3,0
MI-MAINEXP-60129133,Softening Sustain Talk,4,0
MI-MAINEXP-60129133,Partnership,4,0
MI-MAINEXP-15257201,Softening Sustain Talk,4,0
MI-MAINEXP-3530150,Partnership,4,0
MI-MAINEXP-33586904,Empathy,4,0
MI-MAINEXP-35437575,Cultivating Change Talk,2,0
MI-MAINEXP-60129133,Empathy,3,0
MI-MAINEXP-52441096,Cultivating Change Talk,2,0
MI-MAINEXP-33682304,Cultivating Change Talk,2,0
MI-MAINEXP-30865944,Partnership,4,0
MI-MAINEXP-7998616,Cultivating Change Talk,2,0
MI-MAINEXP-35437575,Softening Sustain Talk,4,0
MI-MAINEXP-60168523,Softening Sustain Talk,4,0
MI-MAINEXP-30865944,Softening Sustain Talk,4,0
MI-MAINEXP-30865944,Empathy,3,0
MI-MAINEXP-7998616,Softening Sustain Talk,4,0
MI-MAINEXP-15257201,Partnership,4,0
MI-MAINEXP-52441096,Empathy,4,0
MI-MAINEXP-52441096,Partnership,3,0
MI-MAINEXP-52441096,Softening Sustain Talk,4,0
MI-MAINEXP-30880455,Cultivating Change Talk,2,0
MI-MAINEXP-7998616,Partnership,4,0
MI-MAINEXP-7998616,Empathy,4,0
MI-MAINEXP-30880455,Partnership,4,0
MI-MAINEXP-80029285,Cultivating Change Talk,2,0
MI-MAINEXP-30880455,Softening Sustain Talk,4,0
MI-MAINEXP-52468303,Cultivating Change Talk,2,0
MI-MAINEXP-30880455,Empathy,3,0
MI-MAINEXP-80029285,Softening Sustain Talk,4,0
MI-MAINEXP-52468303,Partnership,4,0
MI-MAINEXP-52468303,Softening Sustain Talk,4,0
MI-MAINEXP-31036736,Cultivating Change Talk,2,0
MI-MAINEXP-80029285,Empathy,4,0
MI-MAINEXP-52468303,Empathy,4,0
MI-MAINEXP-5250420,Cultivating Change Talk,2,0
MI-MAINEXP-31036736,Softening Sustain Talk,5,0
MI-MAINEXP-8018482,Cultivating Change Talk,1,0
MI-MAINEXP-80029285,Partnership,4,0
MI-MAINEXP-31036736,Partnership,2,0
MI-MAINEXP-5250420,Softening Sustain Talk,4,0
MI-MAINEXP-31036736,Empathy,4,0
MI-MAINEXP-8018482,Softening Sustain Talk,4,0
MI-MAINEXP-5250420,Partnership,4,0
MI-MAINEXP-5250420,Empathy,4,0
MI-MAINEXP-8018482,Partnership,3,0
MI-MAINEXP-31055727,Cultivating Change Talk,2,0
MI-MAINEXP-8018482,Empathy,3,0
MI-MAINEXP-52550900,Cultivating Change Talk,2,0
MI-MAINEXP-31055727,Softening Sustain Talk,3,0
MI-MAINEXP-8025347,Cultivating Change Talk,2,0
MI-MAINEXP-31055727,Empathy,4,0
MI-MAINEXP-52550900,Softening Sustain Talk,4,0
MI-MAINEXP-8025347,Softening Sustain Talk,4,0
MI-MAINEXP-31055727,Partnership,4,0
MI-MAINEXP-52550900,Partnership,4,0
MI-MAINEXP-52550900,Empathy,4,0
MI-MAINEXP-8025347,Empathy,4,0
MI-MAINEXP-8025347,Partnership,4,0
MI-MAINEXP-31218985,Cultivating Change Talk,1,0
MI-MAINEXP-80392135,Cultivating Change Talk,1,0
MI-MAINEXP-52726110,Cultivating Change Talk,2,0
MI-MAINEXP-31218985,Softening Sustain Talk,4,0
MI-MAINEXP-31218985,Empathy,4,0
MI-MAINEXP-31218985,Partnership,4,0
MI-MAINEXP-52726110,Softening Sustain Talk,4,0
MI-MAINEXP-52726110,Empathy,4,0
MI-MAINEXP-52726110,Partnership,3,0
MI-MAINEXP-31281772,Cultivating Change Talk,1,0
MI-MAINEXP-80392135,Partnership,4,0
MI-MAINEXP-80392135,Empathy,4,0
MI-MAINEXP-80392135,Softening Sustain Talk,4,0
MI-MAINEXP-52810021,Cultivating Change Talk,2,0
MI-MAINEXP-31281772,Softening Sustain Talk,4,0
MI-MAINEXP-31281772,Empathy,4,0
MI-MAINEXP-31281772,Partnership,3,0
MI-MAINEXP-52810021,Softening Sustain Talk,4,0
MI-MAINEXP-80619463,Cultivating Change Talk,2,0
MI-MAINEXP-52810021,Partnership,3,0
MI-MAINEXP-80619463,Partnership,3,0
MI-MAINEXP-31293213,Cultivating Change Talk,2,0
MI-MAINEXP-80619463,Softening Sustain Talk,4,0
MI-MAINEXP-52810021,Empathy,4,0
MI-MAINEXP-80619463,Empathy,3,0
MI-MAINEXP-52829143,Cultivating Change Talk,2,0
MI-MAINEXP-31293213,Softening Sustain Talk,4,0
MI-MAINEXP-8067706,Cultivating Change Talk,2,0
MI-MAINEXP-31293213,Partnership,4,0
MI-MAINEXP-31293213,Empathy,4,0
MI-MAINEXP-8067706,Softening Sustain Talk,4,0
MI-MAINEXP-52829143,Softening Sustain Talk,4,0
MI-MAINEXP-52829143,Partnership,3,0
MI-MAINEXP-31418561,Cultivating Change Talk,2,0
MI-MAINEXP-8067706,Partnership,3,0
MI-MAINEXP-8067706,Empathy,3,0
MI-MAINEXP-52829143,Empathy,4,0
MI-MAINEXP-52952809,Cultivating Change Talk,2,0
MI-MAINEXP-31418561,Partnership,3,0
MI-MAINEXP-81162393,Cultivating Change Talk,2,0
MI-MAINEXP-31418561,Softening Sustain Talk,3,0
MI-MAINEXP-31418561,Empathy,4,0
MI-MAINEXP-81162393,Softening Sustain Talk,4,0
MI-MAINEXP-11765489,Empathy,4,0
MI-MAINEXP-81162393,Partnership,3,0
MI-MAINEXP-52952809,Softening Sustain Talk,4,0
MI-MAINEXP-11799545,Cultivating Change Talk,1,0
MI-MAINEXP-52952809,Partnership,4,0
MI-MAINEXP-83687757,Partnership,4,0
MI-MAINEXP-83687757,Softening Sustain Talk,4,0
MI-MAINEXP-83687757,Empathy,4,0
MI-MAINEXP-11799545,Partnership,4,0
MI-MAINEXP-83765481,Cultivating Change Talk,2,0
MI-MAINEXP-11799545,Empathy,4,0
MI-MAINEXP-83765481,Partnership,4,0
MI-MAINEXP-11799545,Softening Sustain Talk,4,0
MI-MAINEXP-11912175,Cultivating Change Talk,2,0
MI-MAINEXP-83765481,Softening Sustain Talk,4,0
