topic_id,user_id_raw,T,treatment,topic_label
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
2,80738581,1,Change Talk,Social Media Impact on Energy and Productivity
4,80738581,1,Change Talk,Improving Focus and Productivity
27,80738581,1,Change Talk,Affirmations and Confirmations
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
3,80738581,1,Change Talk,Confidence in Changing Social Media Use
4,80738581,1,Change Talk,Improving Focus and Productivity
3,80738581,1,Change Talk,Confidence in Changing Social Media Use
8,80738581,1,Change Talk,Self-Confidence in Behavior Change
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
9,80738581,1,Change Talk,Challenges in Sustaining Personal Change
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
-1,80738581,1,Change Talk,Struggling to Regulate Social Media Use
20,55430988,2,Ambivalence,Perceived Excessive Social Media Use
0,55430988,2,Ambivalence,Balancing Connection and Social Media Use
13,55430988,2,Ambivalence,Managing YouTube Viewing Time
11,55430988,2,Ambivalence,Negative Content and Ad Intrusion
2,55430988,2,Ambivalence,Social Media Impact on Energy and Productivity
-1,55430988,2,Ambivalence,Struggling to Regulate Social Media Use
-1,55430988,2,Ambivalence,Struggling to Regulate Social Media Use
3,55430988,2,Ambivalence,Confidence in Changing Social Media Use
3,55430988,2,Ambivalence,Confidence in Changing Social Media Use
3,55430988,2,Ambivalence,Confidence in Changing Social Media Use
4,55430988,2,Ambivalence,Improving Focus and Productivity
3,55430988,2,Ambivalence,Confidence in Changing Social Media Use
0,55430988,2,Ambivalence,Balancing Connection and Social Media Use
3,55430988,2,Ambivalence,Confidence in Changing Social Media Use
9,55430988,2,Ambivalence,Challenges in Sustaining Personal Change
1,55430988,2,Ambivalence,Physical Strategies to Limit Phone Use
1,55430988,2,Ambivalence,Physical Strategies to Limit Phone Use
0,55430988,2,Ambivalence,Balancing Connection and Social Media Use
-1,96540552,2,Ambivalence,Struggling to Regulate Social Media Use
13,96540552,2,Ambivalence,Managing YouTube Viewing Time
13,96540552,2,Ambivalence,Managing YouTube Viewing Time
2,96540552,2,Ambivalence,Social Media Impact on Energy and Productivity
13,96540552,2,Ambivalence,Managing YouTube Viewing Time
-1,96540552,2,Ambivalence,Struggling to Regulate Social Media Use
12,96540552,2,Ambivalence,Explicit Confirmation of Accuracy
3,96540552,2,Ambivalence,Confidence in Changing Social Media Use
3,96540552,2,Ambivalence,Confidence in Changing Social Media Use
3,96540552,2,Ambivalence,Confidence in Changing Social Media Use
13,96540552,2,Ambivalence,Managing YouTube Viewing Time
3,96540552,2,Ambivalence,Confidence in Changing Social Media Use
3,96540552,2,Ambivalence,Confidence in Changing Social Media Use
-1,96540552,2,Ambivalence,Struggling to Regulate Social Media Use
-1,96540552,2,Ambivalence,Struggling to Regulate Social Media Use
13,96540552,2,Ambivalence,Managing YouTube Viewing Time
6,96540552,2,Ambivalence,Challenges in Changing Social Media Habits
-1,6727803,3,Direct persuasion,Struggling to Regulate Social Media Use
5,6727803,3,Direct persuasion,Daily Timing of Social Media Use
-1,6727803,3,Direct persuasion,Struggling to Regulate Social Media Use
2,6727803,3,Direct persuasion,Social Media Impact on Energy and Productivity
0,6727803,3,Direct persuasion,Balancing Connection and Social Media Use
-1,35948474,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,35948474,3,Direct persuasion,Struggling to Regulate Social Media Use
0,35948474,3,Direct persuasion,Balancing Connection and Social Media Use
2,35948474,3,Direct persuasion,Social Media Impact on Energy and Productivity
-1,35948474,3,Direct persuasion,Struggling to Regulate Social Media Use
4,35948474,3,Direct persuasion,Improving Focus and Productivity
-1,35948474,3,Direct persuasion,Struggling to Regulate Social Media Use
19,35948474,3,Direct persuasion,Preference for Gradual Social Media Reduction
1,35948474,3,Direct persuasion,Physical Strategies to Limit Phone Use
10,35948474,3,Direct persuasion,App and Notification Use Management
2,35948474,3,Direct persuasion,Social Media Impact on Energy and Productivity
-1,35948474,3,Direct persuasion,Struggling to Regulate Social Media Use
0,20011079,3,Direct persuasion,Balancing Connection and Social Media Use
-1,20011079,3,Direct persuasion,Struggling to Regulate Social Media Use
0,20011079,3,Direct persuasion,Balancing Connection and Social Media Use
2,20011079,3,Direct persuasion,Social Media Impact on Energy and Productivity
-1,20011079,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,20011079,3,Direct persuasion,Struggling to Regulate Social Media Use
3,20011079,3,Direct persuasion,Confidence in Changing Social Media Use
1,20011079,3,Direct persuasion,Physical Strategies to Limit Phone Use
0,20011079,3,Direct persuasion,Balancing Connection and Social Media Use
-1,20011079,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,20011079,3,Direct persuasion,Struggling to Regulate Social Media Use
3,20011079,3,Direct persuasion,Confidence in Changing Social Media Use
0,15934284,1,Change Talk,Balancing Connection and Social Media Use
-1,15934284,1,Change Talk,Struggling to Regulate Social Media Use
7,15934284,1,Change Talk,Unproductive and Prolonged Scrolling
6,15934284,1,Change Talk,Challenges in Changing Social Media Habits
5,15934284,1,Change Talk,Daily Timing of Social Media Use
14,15934284,1,Change Talk,Affirming Importance and Priority
4,15934284,1,Change Talk,Improving Focus and Productivity
6,15934284,1,Change Talk,Challenges in Changing Social Media Habits
17,15934284,1,Change Talk,No Specific Thoughts or Ideas
-1,15934284,1,Change Talk,Struggling to Regulate Social Media Use
1,15934284,1,Change Talk,Physical Strategies to Limit Phone Use
1,15934284,1,Change Talk,Physical Strategies to Limit Phone Use
6,15934284,1,Change Talk,Challenges in Changing Social Media Habits
11,67029227,1,Change Talk,Negative Content and Ad Intrusion
2,67029227,1,Change Talk,Social Media Impact on Energy and Productivity
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
12,67029227,1,Change Talk,Explicit Confirmation of Accuracy
3,67029227,1,Change Talk,Confidence in Changing Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
1,67029227,1,Change Talk,Physical Strategies to Limit Phone Use
-1,67029227,1,Change Talk,Struggling to Regulate Social Media Use
0,67029227,1,Change Talk,Balancing Connection and Social Media Use
-1,93200722,2,Ambivalence,Struggling to Regulate Social Media Use
0,93200722,2,Ambivalence,Balancing Connection and Social Media Use
-1,93200722,2,Ambivalence,Struggling to Regulate Social Media Use
-1,93200722,2,Ambivalence,Struggling to Regulate Social Media Use
5,93200722,2,Ambivalence,Daily Timing of Social Media Use
0,93200722,2,Ambivalence,Balancing Connection and Social Media Use
12,93200722,2,Ambivalence,Explicit Confirmation of Accuracy
0,38910290,1,Change Talk,Balancing Connection and Social Media Use
0,38910290,1,Change Talk,Balancing Connection and Social Media Use
4,38910290,1,Change Talk,Improving Focus and Productivity
-1,38910290,1,Change Talk,Struggling to Regulate Social Media Use
4,38910290,1,Change Talk,Improving Focus and Productivity
16,38910290,1,Change Talk,Agreement with Summary Statements
3,38910290,1,Change Talk,Confidence in Changing Social Media Use
0,38910290,1,Change Talk,Balancing Connection and Social Media Use
-1,38910290,1,Change Talk,Struggling to Regulate Social Media Use
-1,38910290,1,Change Talk,Struggling to Regulate Social Media Use
-1,38910290,1,Change Talk,Struggling to Regulate Social Media Use
2,38910290,1,Change Talk,Social Media Impact on Energy and Productivity
-1,38910290,1,Change Talk,Struggling to Regulate Social Media Use
9,38910290,1,Change Talk,Challenges in Sustaining Personal Change
0,38910290,1,Change Talk,Balancing Connection and Social Media Use
10,62437606,1,Change Talk,App and Notification Use Management
7,62437606,1,Change Talk,Unproductive and Prolonged Scrolling
5,62437606,1,Change Talk,Daily Timing of Social Media Use
2,62437606,1,Change Talk,Social Media Impact on Energy and Productivity
-1,62437606,1,Change Talk,Struggling to Regulate Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
5,3487380,3,Direct persuasion,Daily Timing of Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
0,3487380,3,Direct persuasion,Balancing Connection and Social Media Use
4,3487380,3,Direct persuasion,Improving Focus and Productivity
3,3487380,3,Direct persuasion,Confidence in Changing Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,3487380,3,Direct persuasion,Struggling to Regulate Social Media Use
1,3487380,3,Direct persuasion,Physical Strategies to Limit Phone Use
3,3487380,3,Direct persuasion,Confidence in Changing Social Media Use
17,3487380,3,Direct persuasion,No Specific Thoughts or Ideas
1,3487380,3,Direct persuasion,Physical Strategies to Limit Phone Use
10,65347848,1,Change Talk,App and Notification Use Management
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
5,65347848,1,Change Talk,Daily Timing of Social Media Use
2,65347848,1,Change Talk,Social Media Impact on Energy and Productivity
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
27,65347848,1,Change Talk,Affirmations and Confirmations
14,65347848,1,Change Talk,Affirming Importance and Priority
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
1,65347848,1,Change Talk,Physical Strategies to Limit Phone Use
9,65347848,1,Change Talk,Challenges in Sustaining Personal Change
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
-1,65347848,1,Change Talk,Struggling to Regulate Social Media Use
0,68842690,3,Direct persuasion,Balancing Connection and Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
0,68842690,3,Direct persuasion,Balancing Connection and Social Media Use
3,68842690,3,Direct persuasion,Confidence in Changing Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
0,68842690,3,Direct persuasion,Balancing Connection and Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
3,68842690,3,Direct persuasion,Confidence in Changing Social Media Use
0,68842690,3,Direct persuasion,Balancing Connection and Social Media Use
-1,68842690,3,Direct persuasion,Struggling to Regulate Social Media Use
0,22995312,2,Ambivalence,Balancing Connection and Social Media Use
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
0,22995312,2,Ambivalence,Balancing Connection and Social Media Use
11,22995312,2,Ambivalence,Negative Content and Ad Intrusion
11,22995312,2,Ambivalence,Negative Content and Ad Intrusion
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
16,22995312,2,Ambivalence,Agreement with Summary Statements
3,22995312,2,Ambivalence,Confidence in Changing Social Media Use
6,22995312,2,Ambivalence,Challenges in Changing Social Media Habits
3,22995312,2,Ambivalence,Confidence in Changing Social Media Use
4,22995312,2,Ambivalence,Improving Focus and Productivity
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
0,22995312,2,Ambivalence,Balancing Connection and Social Media Use
3,22995312,2,Ambivalence,Confidence in Changing Social Media Use
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
10,22995312,2,Ambivalence,App and Notification Use Management
-1,22995312,2,Ambivalence,Struggling to Regulate Social Media Use
0,41493111,3,Direct persuasion,Balancing Connection and Social Media Use
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
0,41493111,3,Direct persuasion,Balancing Connection and Social Media Use
2,41493111,3,Direct persuasion,Social Media Impact on Energy and Productivity
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,41493111,3,Direct persuasion,Struggling to Regulate Social Media Use
1,41493111,3,Direct persuasion,Physical Strategies to Limit Phone Use
1,41493111,3,Direct persuasion,Physical Strategies to Limit Phone Use
1,41493111,3,Direct persuasion,Physical Strategies to Limit Phone Use
-1,90500087,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,90500087,3,Direct persuasion,Struggling to Regulate Social Media Use
0,90500087,3,Direct persuasion,Balancing Connection and Social Media Use
2,90500087,3,Direct persuasion,Social Media Impact on Energy and Productivity
0,90500087,3,Direct persuasion,Balancing Connection and Social Media Use
4,90500087,3,Direct persuasion,Improving Focus and Productivity
13,90500087,3,Direct persuasion,Managing YouTube Viewing Time
-1,90500087,3,Direct persuasion,Struggling to Regulate Social Media Use
13,90500087,3,Direct persuasion,Managing YouTube Viewing Time
13,90500087,3,Direct persuasion,Managing YouTube Viewing Time
13,90500087,3,Direct persuasion,Managing YouTube Viewing Time
1,90500087,3,Direct persuasion,Physical Strategies to Limit Phone Use
15,26928315,3,Direct persuasion,Gradual Reduction of Social Media Use
1,26928315,3,Direct persuasion,Physical Strategies to Limit Phone Use
0,26928315,3,Direct persuasion,Balancing Connection and Social Media Use
7,26928315,3,Direct persuasion,Unproductive and Prolonged Scrolling
-1,26928315,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,26928315,3,Direct persuasion,Struggling to Regulate Social Media Use
1,26928315,3,Direct persuasion,Physical Strategies to Limit Phone Use
0,43043476,3,Direct persuasion,Balancing Connection and Social Media Use
1,43043476,3,Direct persuasion,Physical Strategies to Limit Phone Use
5,43043476,3,Direct persuasion,Daily Timing of Social Media Use
2,43043476,3,Direct persuasion,Social Media Impact on Energy and Productivity
0,43043476,3,Direct persuasion,Balancing Connection and Social Media Use
0,43043476,3,Direct persuasion,Balancing Connection and Social Media Use
3,43043476,3,Direct persuasion,Confidence in Changing Social Media Use
10,43043476,3,Direct persuasion,App and Notification Use Management
-1,43043476,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,43043476,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,43043476,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,43043476,3,Direct persuasion,Struggling to Regulate Social Media Use
0,59893995,2,Ambivalence,Balancing Connection and Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
7,59893995,2,Ambivalence,Unproductive and Prolonged Scrolling
5,59893995,2,Ambivalence,Daily Timing of Social Media Use
1,59893995,2,Ambivalence,Physical Strategies to Limit Phone Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
3,59893995,2,Ambivalence,Confidence in Changing Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
15,59893995,2,Ambivalence,Gradual Reduction of Social Media Use
4,59893995,2,Ambivalence,Improving Focus and Productivity
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
-1,59893995,2,Ambivalence,Struggling to Regulate Social Media Use
0,12862934,2,Ambivalence,Balancing Connection and Social Media Use
0,12862934,2,Ambivalence,Balancing Connection and Social Media Use
0,12862934,2,Ambivalence,Balancing Connection and Social Media Use
-1,12862934,2,Ambivalence,Struggling to Regulate Social Media Use
11,12862934,2,Ambivalence,Negative Content and Ad Intrusion
-1,90700453,2,Ambivalence,Struggling to Regulate Social Media Use
0,90700453,2,Ambivalence,Balancing Connection and Social Media Use
0,90700453,2,Ambivalence,Balancing Connection and Social Media Use
0,90700453,2,Ambivalence,Balancing Connection and Social Media Use
2,90700453,2,Ambivalence,Social Media Impact on Energy and Productivity
6,90700453,2,Ambivalence,Challenges in Changing Social Media Habits
0,90700453,2,Ambivalence,Balancing Connection and Social Media Use
4,90700453,2,Ambivalence,Improving Focus and Productivity
0,90700453,2,Ambivalence,Balancing Connection and Social Media Use
-1,90700453,2,Ambivalence,Struggling to Regulate Social Media Use
8,90700453,2,Ambivalence,Self-Confidence in Behavior Change
-1,90700453,2,Ambivalence,Struggling to Regulate Social Media Use
2,77510154,3,Direct persuasion,Social Media Impact on Energy and Productivity
7,77510154,3,Direct persuasion,Unproductive and Prolonged Scrolling
0,77510154,3,Direct persuasion,Balancing Connection and Social Media Use
2,77510154,3,Direct persuasion,Social Media Impact on Energy and Productivity
-1,77510154,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,77510154,3,Direct persuasion,Struggling to Regulate Social Media Use
3,77510154,3,Direct persuasion,Confidence in Changing Social Media Use
1,77510154,3,Direct persuasion,Physical Strategies to Limit Phone Use
7,77510154,3,Direct persuasion,Unproductive and Prolonged Scrolling
7,77510154,3,Direct persuasion,Unproductive and Prolonged Scrolling
5,77510154,3,Direct persuasion,Daily Timing of Social Media Use
3,77510154,3,Direct persuasion,Confidence in Changing Social Media Use
7,77510154,3,Direct persuasion,Unproductive and Prolonged Scrolling
-1,77510154,3,Direct persuasion,Struggling to Regulate Social Media Use
0,16925383,2,Ambivalence,Balancing Connection and Social Media Use
0,16925383,2,Ambivalence,Balancing Connection and Social Media Use
0,16925383,2,Ambivalence,Balancing Connection and Social Media Use
-1,16925383,2,Ambivalence,Struggling to Regulate Social Media Use
7,16925383,2,Ambivalence,Unproductive and Prolonged Scrolling
5,16925383,2,Ambivalence,Daily Timing of Social Media Use
12,16925383,2,Ambivalence,Explicit Confirmation of Accuracy
0,16925383,2,Ambivalence,Balancing Connection and Social Media Use
0,16925383,2,Ambivalence,Balancing Connection and Social Media Use
4,16925383,2,Ambivalence,Improving Focus and Productivity
7,16925383,2,Ambivalence,Unproductive and Prolonged Scrolling
8,16925383,2,Ambivalence,Self-Confidence in Behavior Change
9,16925383,2,Ambivalence,Challenges in Sustaining Personal Change
1,16925383,2,Ambivalence,Physical Strategies to Limit Phone Use
1,16925383,2,Ambivalence,Physical Strategies to Limit Phone Use
-1,16925383,2,Ambivalence,Struggling to Regulate Social Media Use
-1,97900855,3,Direct persuasion,Struggling to Regulate Social Media Use
5,97900855,3,Direct persuasion,Daily Timing of Social Media Use
-1,97900855,3,Direct persuasion,Struggling to Regulate Social Media Use
2,97900855,3,Direct persuasion,Social Media Impact on Energy and Productivity
0,97900855,3,Direct persuasion,Balancing Connection and Social Media Use
4,97900855,3,Direct persuasion,Improving Focus and Productivity
0,97900855,3,Direct persuasion,Balancing Connection and Social Media Use
-1,97900855,3,Direct persuasion,Struggling to Regulate Social Media Use
1,97900855,3,Direct persuasion,Physical Strategies to Limit Phone Use
-1,97900855,3,Direct persuasion,Struggling to Regulate Social Media Use
7,97900855,3,Direct persuasion,Unproductive and Prolonged Scrolling
-1,97900855,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,13426078,2,Ambivalence,Struggling to Regulate Social Media Use
0,13426078,2,Ambivalence,Balancing Connection and Social Media Use
