user_id_raw,T,number_positive_aspects,number_negative_aspects
14970410,Ambivalence,4,4
14985338,Persuasion,3,7
15061229,Ambivalence,5,6
15216083,Ambivalence,4,1
15222831,Ambivalence,7,7
15242387,Change Talk,1,11
15258308,Persuasion,4,2
15302384,Ambivalence,8,6
15311298,Persuasion,8,8
15329413,Ambivalence,4,5
15378897,Persuasion,3,6
15540880,Persuasion,3,3
15587177,Persuasion,2,0
15631066,Ambivalence,10,7
15775116,Persuasion,2,4
15775152,Change Talk,5,1
15777572,Persuasion,1,4
15816453,Ambivalence,2,3
15934284,Change Talk,0,3
15947500,Persuasion,8,8
16021745,Change Talk,0,5
16052425,Ambivalence,0,6
16137558,Persuasion,4,6
16192025,Change Talk,1,4
16234891,Ambivalence,8,4
16236052,Persuasion,4,6
16236448,Ambivalence,6,6
16250072,Ambivalence,9,8
16386813,Persuasion,3,2
16590100,Persuasion,9,8
16646023,Persuasion,1,4
16678770,Change Talk,7,8
16753516,Persuasion,6,0
16793630,Ambivalence,6,7
16806672,Persuasion,4,10
16913077,Ambivalence,5,2
16921776,Persuasion,5,1
16925383,Ambivalence,4,8
16950502,Change Talk,2,5
17016195,Persuasion,5,8
17018826,Persuasion,1,0
17080535,Change Talk,0,9
17082210,Persuasion,1,2
17084595,Persuasion,3,9
17088241,Change Talk,3,6
17155638,Ambivalence,9,10
17189455,Persuasion,2,5
17312665,Persuasion,6,13
17383011,Ambivalence,6,3
17423091,Change Talk,0,6
17477149,Persuasion,4,4
17483628,Change Talk,12,11
17552490,Change Talk,1,5
17574198,Change Talk,0,7
17600923,Ambivalence,4,2
17624341,Change Talk,5,5
17718275,Ambivalence,8,2
17718432,Ambivalence,5,6
17863867,Persuasion,2,8
17918700,Persuasion,2,3
17957435,Ambivalence,2,5
17969204,Ambivalence,5,10
18037615,Ambivalence,6,7
18076045,Persuasion,3,5
18146057,Change Talk,2,4
18179143,Persuasion,3,4
18262974,Change Talk,0,6
18296398,Ambivalence,5,7
18298374,Ambivalence,6,7
18315693,Change Talk,0,6
18475067,Persuasion,2,3
18556794,Ambivalence,4,1
18584480,Ambivalence,4,5
18588814,Persuasion,7,5
18612871,Persuasion,2,3
18651835,Change Talk,5,8
18711634,Ambivalence,5,2
18739947,Ambivalence,8,0
18748870,Ambivalence,5,7
18754108,Ambivalence,4,5
18867355,Change Talk,3,7
18867880,Change Talk,0,9
18888007,Change Talk,2,2
19014682,Ambivalence,10,9
19029592,Persuasion,0,0
19058579,Persuasion,3,2
19111570,Persuasion,0,2
19184528,Ambivalence,4,1
19202461,Persuasion,3,4
19267826,Change Talk,1,6
19326009,Change Talk,5,6
19337813,Persuasion,7,7
19375711,Change Talk,3,9
19399108,Change Talk,3,0
19473906,Persuasion,2,8
19553160,Ambivalence,4,4
19759079,Persuasion,6,4
19782205,Ambivalence,4,8
19828723,Ambivalence,3,8
19840889,Change Talk,1,5
19848590,Ambivalence,3,1
19966578,Ambivalence,1,11
19967229,Persuasion,5,3
20011079,Persuasion,4,9
20020906,Change Talk,8,10
20136979,Persuasion,5,4
20148682,Persuasion,3,5
20162785,Persuasion,7,5
20270522,Ambivalence,5,3
20273028,Ambivalence,3,0
20287832,Ambivalence,3,5
20290386,Ambivalence,5,3
20391964,Ambivalence,3,12
20397977,Ambivalence,5,4
20451569,Persuasion,0,5
20491381,Ambivalence,5,10
20498742,Ambivalence,8,3
20567796,Ambivalence,6,8
20583114,Change Talk,1,4
20685022,Persuasion,1,1
20747992,Change Talk,3,6
20761597,Persuasion,7,8
20775581,Change Talk,12,21
20796330,Change Talk,0,5
20937948,Persuasion,2,3
20939203,Ambivalence,3,4
20998473,Persuasion,2,5
21001762,Ambivalence,6,8
21066821,Persuasion,1,6
21097321,Persuasion,12,10
21184960,Ambivalence,1,3
21202731,Persuasion,5,3
21444153,Ambivalence,6,10
21513193,Change Talk,7,4
21523886,Persuasion,1,0
21561078,Ambivalence,7,4
21611899,Persuasion,2,4
21629832,Persuasion,1,1
21639632,Ambivalence,4,7
21659888,Change Talk,0,3
21664272,Change Talk,2,5
21679967,Persuasion,4,6
21697615,Persuasion,2,3
21714839,Change Talk,0,10
21788296,Persuasion,6,1
21833377,Persuasion,3,5
21861581,Ambivalence,5,4
21872563,Ambivalence,8,11
21958466,Ambivalence,5,7
21966530,Ambivalence,7,4
21982165,Change Talk,4,6
21991802,Persuasion,4,1
21994046,Persuasion,1,3
22063576,Ambivalence,4,1
22176206,Ambivalence,9,3
22257117,Change Talk,2,4
22297862,Change Talk,0,4
22339485,Ambivalence,3,3
22350764,Persuasion,13,10
22409510,Change Talk,3,3
22487342,Persuasion,2,9
22544335,Ambivalence,3,3
22546092,Ambivalence,4,0
22552857,Ambivalence,7,10
22559150,Change Talk,0,4
22578933,Ambivalence,8,8
22579011,Change Talk,1,13
22610803,Change Talk,1,2
22699407,Ambivalence,4,3
22820592,Change Talk,5,7
22880573,Persuasion,3,8
22908938,Ambivalence,4,3
22910626,Ambivalence,5,6
22995312,Ambivalence,4,7
23150615,Change Talk,1,4
23223540,Persuasion,3,3
23299390,Ambivalence,4,4
23354446,Change Talk,5,5
23398424,Change Talk,1,6
23400567,Change Talk,0,11
23443349,Change Talk,1,3
23561314,Change Talk,2,4
23738046,Persuasion,1,2
23772438,Ambivalence,6,13
23845880,Ambivalence,4,6
23867184,Persuasion,2,4
23984649,Change Talk,6,2
24161231,Change Talk,3,7
24164851,Persuasion,4,4
24176039,Ambivalence,9,5
24226645,Ambivalence,5,2
24301045,Change Talk,3,7
24329295,Change Talk,5,7
24353361,Ambivalence,7,3
24389010,Change Talk,0,5
24394933,Persuasion,0,5
24461108,Persuasion,2,4
24477696,Persuasion,2,1
24501181,Persuasion,5,6
24555218,Persuasion,3,2
24557944,Change Talk,0,5
24591001,Ambivalence,11,6
24621209,Ambivalence,6,3
24625845,Persuasion,3,8
24830241,Ambivalence,7,8
24895320,Ambivalence,5,6
24976894,Change Talk,3,4
24990583,Persuasion,2,1
25021525,Change Talk,8,7
25024449,Change Talk,12,10
25117011,Persuasion,2,7
25274183,Ambivalence,7,4
25300174,Persuasion,3,7
25360886,Ambivalence,4,5
25404911,Change Talk,4,3
25604099,Change Talk,3,6
25663239,Change Talk,4,6
25713460,Change Talk,3,7
25738540,Ambivalence,6,8
25754865,Ambivalence,6,6
25755432,Persuasion,3,4
25828521,Change Talk,0,7
25870007,Ambivalence,7,7
25910945,Ambivalence,7,8
26016594,Ambivalence,2,3
26032482,Ambivalence,6,8
26079610,Ambivalence,6,5
26084987,Ambivalence,2,8
26130618,Change Talk,0,8
26135189,Ambivalence,3,4
26160738,Ambivalence,3,3
26249443,Persuasion,1,4
26293200,Ambivalence,2,9
26339108,Ambivalence,7,5
26364441,Ambivalence,8,15
26365240,Persuasion,0,4
26437058,Ambivalence,2,6
26441619,Persuasion,0,4
26502628,Ambivalence,6,3
26549330,Ambivalence,3,5
26580100,Ambivalence,5,5
26716432,Ambivalence,2,1
26743031,Persuasion,1,1
26751803,Change Talk,2,3
26784986,Change Talk,4,6
26928315,Persuasion,2,2
26939983,Change Talk,2,7
27000384,Change Talk,1,1
27021599,Change Talk,4,6
27137171,Persuasion,5,6
27219187,Persuasion,2,6
27247292,Change Talk,3,4
27248664,Persuasion,2,5
27306634,Change Talk,0,9
27416356,Persuasion,4,6
27436427,Ambivalence,8,8
27450514,Change Talk,3,7
27633603,Change Talk,6,6
27637568,Persuasion,0,5
27733835,Ambivalence,6,5
27774790,Ambivalence,4,3
27904502,Ambivalence,6,0
27905527,Change Talk,2,8
27910276,Ambivalence,4,5
27991973,Ambivalence,13,9
28101048,Ambivalence,4,3
28130686,Persuasion,2,9
28202873,Ambivalence,6,7
28285692,Ambivalence,6,5
28367157,Persuasion,2,2
28386505,Change Talk,6,8
28460599,Change Talk,5,0
28532680,Ambivalence,8,8
28598923,Ambivalence,8,10
28617349,Persuasion,6,8
28653663,Persuasion,3,5
28702005,Change Talk,0,4
28787805,Persuasion,4,3
28799272,Change Talk,2,6
28874009,Change Talk,0,12
28896168,Ambivalence,5,7
28941069,Ambivalence,4,8
28972082,Ambivalence,6,7
29057789,Ambivalence,4,3
29075491,Persuasion,2,8
29100432,Ambivalence,5,5
29115958,Persuasion,3,7
29149131,Ambivalence,4,6
29251294,Persuasion,4,4
29291152,Persuasion,1,2
29311031,Change Talk,0,11
29340235,Persuasion,5,6
29347386,Change Talk,0,4
29410048,Change Talk,5,11
29477268,Change Talk,0,8
29497853,Persuasion,6,6
29535207,Persuasion,4,5
29553857,Change Talk,0,7
29566157,Change Talk,1,7
29589091,Change Talk,2,5
29723499,Persuasion,5,0
29817725,Persuasion,4,4
29940517,Persuasion,1,2
29943691,Ambivalence,3,2
29953832,Ambivalence,7,4
29975011,Ambivalence,5,4
30026694,Change Talk,2,11
30123449,Persuasion,2,4
30226184,Ambivalence,3,4
30251996,Ambivalence,1,5
30259482,Change Talk,0,8
30343039,Persuasion,5,4
30367354,Ambivalence,5,2
30459785,Ambivalence,6,5
30505406,Change Talk,0,5
30532153,Change Talk,0,7
30555742,Persuasion,2,0
30618390,Change Talk,2,2
30620916,Change Talk,0,4
30739346,Change Talk,1,10
30742868,Change Talk,0,3
30797946,Ambivalence,5,5
30838572,Persuasion,0,4
30872038,Change Talk,0,6
30949973,Persuasion,2,4
30987216,Persuasion,3,19
31029850,Persuasion,3,0
31036647,Persuasion,2,4
31066754,Persuasion,2,3
31127526,Persuasion,6,4
31221484,Change Talk,9,10
31229595,Persuasion,3,8
31231668,Persuasion,2,4
31286784,Change Talk,1,2
31331063,Persuasion,4,9
31344177,Ambivalence,3,9
31354493,Change Talk,3,6
31367321,Change Talk,1,5
31420170,Persuasion,2,7
31427062,Change Talk,2,5
31505282,Persuasion,2,7
31547379,Persuasion,2,3
31563533,Persuasion,1,5
31571935,Change Talk,1,4
31648577,Change Talk,0,3
31812567,Change Talk,2,5
31883067,Ambivalence,3,2
31884719,Ambivalence,6,5
31991500,Persuasion,2,5
32009894,Ambivalence,3,8
32015629,Persuasion,2,6
32025646,Ambivalence,3,7
32085500,Change Talk,3,6
32107453,Ambivalence,4,6
32221700,Persuasion,3,8
32277027,Persuasion,4,10
32325591,Change Talk,2,1
32353939,Persuasion,1,2
32402932,Ambivalence,7,9
32420390,Persuasion,2,2
32447130,Persuasion,1,9
32448181,Persuasion,0,4
32469320,Persuasion,1,6
32489284,Ambivalence,8,8
32685069,Persuasion,3,0
32698687,Ambivalence,5,3
32811896,Change Talk,1,4
32937484,Ambivalence,4,5
32962630,Persuasion,7,5
33009038,Ambivalence,5,6
33019672,Change Talk,0,5
33035761,Ambivalence,3,2
33040054,Change Talk,0,5
33088970,Change Talk,0,9
33143683,Ambivalence,4,6
33163530,Ambivalence,8,7
33206796,Persuasion,1,3
33239660,Ambivalence,7,6
33246912,Persuasion,4,4
33325334,Ambivalence,4,8
33335955,Change Talk,4,5
33349448,Change Talk,3,2
33397043,Persuasion,8,12
33456350,Persuasion,1,4
33482225,Persuasion,2,7
33576930,Persuasion,4,6
33668335,Persuasion,8,14
33745779,Change Talk,7,7
33786585,Change Talk,1,8
33806960,Ambivalence,4,4
33875628,Ambivalence,4,5
34116899,Change Talk,0,5
34182661,Change Talk,0,5
34183778,Persuasion,6,9
34259659,Ambivalence,5,9
34278797,Ambivalence,4,4
34300295,Ambivalence,3,7
34385015,Persuasion,2,6
34433641,Ambivalence,7,8
34483131,Persuasion,6,3
34564594,Persuasion,3,1
34603443,Ambivalence,4,5
34604423,Ambivalence,7,5
34631927,Change Talk,1,9
34648713,Change Talk,1,5
34671863,Change Talk,2,4
34731123,Ambivalence,6,10
34751776,Change Talk,0,1
34810928,Change Talk,0,6
34818306,Persuasion,3,6
34822315,Persuasion,2,7
35045180,Ambivalence,6,7
35056740,Change Talk,2,7
35089872,Ambivalence,5,6
35093359,Change Talk,3,3
35096983,Ambivalence,6,6
35108144,Change Talk,5,8
35240470,Persuasion,1,8
35241220,Ambivalence,8,3
35251836,Change Talk,4,8
35261977,Ambivalence,7,1
35263931,Persuasion,3,3
35303903,Change Talk,2,8
35321604,Change Talk,4,13
35341521,Change Talk,3,9
35475198,Ambivalence,8,8
35510486,Change Talk,0,9
35590821,Ambivalence,4,5
35591321,Change Talk,3,4
35645924,Change Talk,9,5
35698413,Change Talk,2,5
35698940,Persuasion,2,1
35826981,Change Talk,0,6
35829300,Change Talk,0,4
35839758,Change Talk,0,8
35932913,Ambivalence,5,4
35948474,Persuasion,4,6
35966952,Persuasion,2,1
35981972,Ambivalence,4,1
36073650,Ambivalence,7,2
36087360,Ambivalence,7,2
36130172,Change Talk,2,6
36139806,Change Talk,4,6
36213007,Change Talk,4,3
36230602,Ambivalence,2,7
36410889,Persuasion,6,5
36423210,Ambivalence,6,7
36528417,Persuasion,5,8
36534848,Persuasion,4,2
36546230,Persuasion,2,2
36554180,Ambivalence,7,8
36567212,Persuasion,3,8
36569510,Change Talk,0,3
36601694,Persuasion,1,3
36612260,Ambivalence,4,5
36632928,Persuasion,1,7
36648538,Change Talk,2,3
36656880,Change Talk,2,3
36695754,Persuasion,3,7
36720522,Ambivalence,4,8
36837603,Ambivalence,8,10
36854376,Ambivalence,5,4
36916707,Persuasion,3,9
36983888,Persuasion,3,2
36990814,Persuasion,5,7
37044050,Ambivalence,12,7
37115501,Ambivalence,6,6
37126671,Persuasion,3,5
37265217,Ambivalence,6,9
37265866,Change Talk,1,12
37362963,Persuasion,1,2
37397584,Change Talk,3,1
37488683,Persuasion,2,4
37513803,Change Talk,0,3
37572076,Ambivalence,3,3
37603741,Ambivalence,8,5
37672857,Persuasion,4,6
37736991,Change Talk,2,2
37768950,Ambivalence,12,5
37799785,Ambivalence,2,5
37819018,Persuasion,8,0
37819132,Change Talk,0,5
37829261,Change Talk,6,8
37833465,Change Talk,4,14
37838903,Ambivalence,6,5
37882335,Ambivalence,7,9
37885092,Ambivalence,3,8
37904221,Change Talk,1,3
37914988,Change Talk,0,11
37925998,Persuasion,5,3
37936336,Change Talk,1,6
37946742,Persuasion,5,3
38047749,Change Talk,4,3
38058779,Change Talk,6,8
38124802,Persuasion,8,8
38190019,Ambivalence,2,4
38222163,Ambivalence,4,6
38359500,Ambivalence,3,5
38370419,Change Talk,4,1
38381765,Persuasion,4,8
38398010,Persuasion,1,5
38483696,Persuasion,3,3
38545335,Change Talk,4,9
38554362,Ambivalence,5,5
38623681,Persuasion,4,2
38643996,Persuasion,1,0
38739328,Change Talk,0,6
38743445,Ambivalence,4,3
38822098,Ambivalence,3,6
38891617,Change Talk,6,7
38905362,Change Talk,7,10
38910290,Change Talk,12,8
38920681,Ambivalence,5,4
38968743,Persuasion,4,3
39175319,Persuasion,2,6
39179846,Change Talk,0,11
39299191,Ambivalence,13,0
39607837,Persuasion,2,2
39637114,Change Talk,2,0
39656481,Change Talk,1,3
39715508,Persuasion,11,1
39781318,Change Talk,0,2
39810566,Ambivalence,5,8
39911385,Persuasion,1,2
39968293,Change Talk,2,3
40042260,Change Talk,1,4
40084889,Change Talk,0,3
40108241,Change Talk,4,2
40145721,Persuasion,3,5
40173118,Change Talk,1,1
40188814,Ambivalence,3,5
40220952,Ambivalence,0,8
40300830,Ambivalence,4,6
40359687,Persuasion,7,3
40413035,Persuasion,4,1
40543436,Persuasion,5,6
40576544,Change Talk,1,3
40630105,Persuasion,3,8
40630400,Ambivalence,3,8
40699425,Ambivalence,3,3
40732288,Change Talk,5,6
40749163,Persuasion,2,8
40750016,Persuasion,3,11
40768241,Persuasion,5,4
40787974,Change Talk,3,6
40863339,Change Talk,2,2
40865353,Persuasion,6,2
40893802,Change Talk,2,4
40966815,Persuasion,2,3
41060165,Ambivalence,5,2
41089649,Change Talk,3,5
41148463,Change Talk,0,3
41244024,Ambivalence,6,2
41295873,Change Talk,0,5
41333731,Ambivalence,5,5
41433028,Change Talk,1,2
41483135,Persuasion,0,3
41493111,Persuasion,5,10
41496997,Change Talk,3,7
41523008,Ambivalence,4,7
41688651,Persuasion,2,4
41700157,Change Talk,2,11
41716591,Persuasion,1,0
41750532,Persuasion,2,5
41801436,Change Talk,9,10
41845889,Change Talk,2,7
41921672,Ambivalence,1,5
41952487,Persuasion,10,5
41990411,Change Talk,1,6
42033947,Ambivalence,7,6
42063387,Persuasion,1,3
42074756,Change Talk,5,8
42157027,Ambivalence,8,10
42167271,Persuasion,8,9
42193099,Ambivalence,5,8
42272933,Persuasion,6,8
42318907,Change Talk,2,3
42448000,Change Talk,6,4
42448212,Ambivalence,2,4
42470155,Change Talk,2,3
42510134,Change Talk,3,3
42567326,Ambivalence,3,6
42588090,Persuasion,5,6
42677266,Persuasion,3,6
42690260,Ambivalence,3,6
42715019,Ambivalence,4,7
42806693,Change Talk,3,6
42878233,Persuasion,2,4
42886514,Change Talk,2,3
42890298,Change Talk,5,4
42891013,Change Talk,5,8
42988984,Persuasion,4,3
43009377,Change Talk,3,2
43043476,Persuasion,2,5
43088475,Ambivalence,3,9
43118757,Change Talk,2,5
43140018,Ambivalence,6,5
43238811,Ambivalence,5,4
43280925,Change Talk,1,6
43340022,Change Talk,3,4
43370502,Persuasion,1,3
43379350,Ambivalence,4,4
43428379,Ambivalence,3,6
43450337,Ambivalence,6,3
43486418,Ambivalence,5,10
43497190,Ambivalence,2,3
43581931,Ambivalence,3,9
43599864,Change Talk,4,7
43605818,Change Talk,5,7
43709196,Persuasion,6,6
43726957,Change Talk,1,8
43784001,Persuasion,2,8
43806862,Ambivalence,3,6
43856286,Ambivalence,7,8
43893202,Change Talk,3,6
43911204,Persuasion,5,3
43936247,Ambivalence,5,4
44064032,Ambivalence,6,3
44156368,Change Talk,2,7
44176472,Persuasion,3,4
44363234,Persuasion,5,5
44514067,Change Talk,0,4
44527883,Persuasion,3,12
44605682,Change Talk,0,5
44608841,Ambivalence,14,6
44648579,Persuasion,3,3
44669101,Ambivalence,6,4
44788258,Ambivalence,3,3
44878546,Ambivalence,4,6
44957003,Persuasion,4,8
44968109,Change Talk,4,6
45007794,Persuasion,3,6
45015620,Change Talk,2,2
45066005,Persuasion,7,4
45070859,Change Talk,0,3
45165333,Persuasion,6,1
45435345,Persuasion,4,7
45583339,Change Talk,0,10
45628866,Persuasion,4,3
45651852,Persuasion,2,3
45741223,Change Talk,0,5
45772711,Change Talk,3,5
45799149,Ambivalence,5,19
45859836,Persuasion,5,2
45862536,Ambivalence,5,7
45866980,Ambivalence,6,7
46026559,Persuasion,2,2
46043937,Persuasion,3,4
46045109,Ambivalence,6,2
46086029,Persuasion,3,2
46112183,Ambivalence,1,4
46210656,Ambivalence,3,8
46287748,Ambivalence,7,2
46303700,Persuasion,1,4
46444557,Change Talk,0,7
46531114,Persuasion,2,1
46640312,Ambivalence,7,6
46650158,Ambivalence,2,3
46776353,Persuasion,3,8
46845498,Persuasion,1,4
46945630,Change Talk,3,2
46979198,Ambivalence,7,4
47069862,Change Talk,1,3
47107307,Ambivalence,5,5
47149639,Ambivalence,6,7
47150011,Change Talk,0,2
47274935,Ambivalence,6,5
47280827,Change Talk,10,8
47359529,Ambivalence,8,9
47359682,Persuasion,2,3
47387139,Change Talk,0,6
47432401,Change Talk,0,4
47536665,Ambivalence,8,10
47585476,Persuasion,4,5
47586770,Persuasion,5,10
47639915,Persuasion,6,3
47651519,Persuasion,2,5
47707699,Change Talk,4,4
47710161,Change Talk,2,7
47753200,Change Talk,3,3
47775132,Ambivalence,6,3
47784996,Persuasion,2,2
47797215,Ambivalence,7,4
