user_id_raw,T,llm_strategies_openai
8234675,Change Talk,"[""Physical Separation"", ""Replace with Other Activities""]"
8244058,Change Talk,"[""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
8256639,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
8281137,Persuasion,"[""Willpower and Discipline"", ""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Physical Separation"", ""Reduce Overall Phone Use""]"
8353025,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
8396731,Ambivalence,"[""Modify Notifications""]"
8480160,Ambivalence,"[""Willpower and Discipline""]"
8595190,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities""]"
8692213,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
8727306,Change Talk,"[""Willpower and Discipline""]"
8785685,Persuasion,[]
8793327,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
8818507,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
8820431,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
8824830,Change Talk,"[""Increase Access Friction"", ""Physical Separation"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
8906837,Persuasion,"[""Delete or Deactivate"", ""Physical Separation"", ""Set Rules or Goals""]"
8963594,Ambivalence,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
8980784,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
9011507,Persuasion,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Set Rules or Goals""]"
9043583,Ambivalence,"[""Built-in Tracking/Restriction"", ""Increase Access Friction"", ""Set Rules or Goals""]"
9196502,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
9296004,Ambivalence,"[""Curate Feed/Content""]"
9314269,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
9373719,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
9399834,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
9425988,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
9562521,Change Talk,"[""Increase Access Friction"", ""Modify Notifications"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
9682298,Ambivalence,"[""Willpower and Discipline""]"
9698935,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
9756910,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
9808934,Persuasion,"[""Physical Separation"", ""Set Rules or Goals""]"
9840110,Ambivalence,"[""Delete or Deactivate""]"
9886346,Change Talk,"[""Replace with Other Activities""]"
9891168,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
10045242,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
10085027,Change Talk,"[""Set Rules or Goals""]"
10127525,Ambivalence,"[""Physical Separation"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
10221599,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Social Accountability"", ""Willpower and Discipline""]"
10306466,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
10435735,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
10444833,Ambivalence,"[""Set Rules or Goals""]"
10482787,Change Talk,"[""Increase Access Friction""]"
10493164,Ambivalence,"[""Set Rules or Goals""]"
10502045,Ambivalence,"[""Set Rules or Goals""]"
10558473,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
10585753,Change Talk,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
10723367,Change Talk,"[""Physical Separation"", ""Replace with Other Activities""]"
10724474,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
10759219,Ambivalence,"[""Set Rules or Goals""]"
10895598,Persuasion,"[""Curate Feed/Content"", ""Set Rules or Goals""]"
10896618,Change Talk,"[""Increase Access Friction"", ""Set Rules or Goals""]"
10937565,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
10947517,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
10970181,Ambivalence,"[""Set Rules or Goals""]"
10986543,Change Talk,[]
11066912,Persuasion,"[""Set Rules or Goals""]"
11131873,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
11149407,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
11182037,Ambivalence,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
11218425,Ambivalence,"[""Replace with Other Activities""]"
11333184,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
11712357,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker""]"
11805287,Ambivalence,"[""Reduce Overall Phone Use""]"
11938344,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
11949697,Persuasion,"[""Set Rules or Goals""]"
12196807,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
12198678,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
12217184,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
12289411,Ambivalence,[]
12289539,Change Talk,"[""Willpower and Discipline""]"
12326891,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
12402023,Ambivalence,"[""Modify Notifications"", ""Set Rules or Goals""]"
12406233,Change Talk,"[""Modify Notifications"", ""Physical Separation"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
12594213,Persuasion,"[""Social Accountability"", ""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
12711427,Change Talk,"[""Physical Separation""]"
12778409,Persuasion,"[""Built-in Tracking/Restriction"", ""Modify Notifications"", ""Set Rules or Goals""]"
12818095,Ambivalence,"[""Increase Access Friction""]"
12832490,Persuasion,"[""Curate Feed/Content"", ""Willpower and Discipline""]"
12870284,Change Talk,"[""Set Rules or Goals""]"
12938274,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
13074710,Persuasion,"[""Built-in Tracking/Restriction"", ""Modify Notifications"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
13151625,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
13196760,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
13232338,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
13302699,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
13307205,Change Talk,"[""Replace with Other Activities"", ""Reduce Overall Phone Use"", ""Willpower and Discipline""]"
13324932,Ambivalence,"[""Set Rules or Goals""]"
13343799,Ambivalence,"[""Delete or Deactivate""]"
13417589,Ambivalence,[]
13577953,Change Talk,"[""Set Rules or Goals""]"
13616174,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
13656121,Change Talk,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
13666019,Change Talk,"[""Delete or Deactivate"", ""Modify Notifications"", ""Set Rules or Goals""]"
13765248,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
13911298,Ambivalence,"[""Replace with Other Activities""]"
13954244,Change Talk,"[""Increase Access Friction"", ""Physical Separation"", ""Set Rules or Goals""]"
13994730,Ambivalence,"[""Set Rules or Goals""]"
14028825,Ambivalence,"[""Set Rules or Goals""]"
14056709,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
14088416,Ambivalence,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Physical Separation"", ""Willpower and Discipline""]"
14152635,Ambivalence,"[""Set Rules or Goals""]"
14260829,Change Talk,[]
14335610,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
14341498,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Set Rules or Goals""]"
14362695,Ambivalence,"[""Increase Access Friction""]"
14531858,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities""]"
14637463,Ambivalence,"[""Replace with Other Activities""]"
14955932,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
14961825,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
14970410,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
14985338,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
15061229,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
15216083,Ambivalence,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
15222831,Ambivalence,"[""Set Rules or Goals""]"
15242387,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Delete or Deactivate"", ""Willpower and Discipline""]"
15258308,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
15302384,Ambivalence,"[""Set Rules or Goals""]"
15311298,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
15329413,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
15378897,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
15540880,Persuasion,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
15587177,Persuasion,"[""Set Rules or Goals""]"
15775116,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
15775152,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
15777572,Persuasion,"[""Delete or Deactivate"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
15934284,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
15947500,Persuasion,"[""Set Rules or Goals""]"
16021745,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
16137558,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker""]"
16192025,Change Talk,"[""Physical Separation"", ""Replace with Other Activities""]"
16234891,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
16236052,Persuasion,"[""Built-in Tracking/Restriction"", ""Increase Access Friction"", ""Physical Separation"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
16236448,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
16386813,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
16590100,Persuasion,"[""Built-in Tracking/Restriction"", ""Increase Access Friction"", ""Physical Separation"", ""Set Rules or Goals"", ""Social Accountability""]"
16646023,Persuasion,"[""Set Rules or Goals""]"
16753516,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
16793630,Ambivalence,"[""Modify Notifications"", ""Set Rules or Goals""]"
16806672,Persuasion,"[""Built-in Tracking/Restriction"", ""Modify Notifications"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
16921776,Persuasion,"[""Set Rules or Goals""]"
16925383,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
16950502,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
17016195,Persuasion,"[""Increase Access Friction"", ""Set Rules or Goals""]"
17018826,Persuasion,"[""Set Rules or Goals""]"
17080535,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
17084595,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
17088241,Change Talk,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
17189455,Persuasion,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
17312665,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
17383011,Ambivalence,"[""Delete or Deactivate""]"
17477149,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
17483628,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
17552490,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
17624341,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
17718275,Ambivalence,"[""Set Rules or Goals""]"
17863867,Persuasion,"[""Delete or Deactivate""]"
17918700,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
17969204,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
18037615,Ambivalence,"[""Set Rules or Goals""]"
18076045,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
18146057,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
18179143,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
18262974,Change Talk,"[""Replace with Other Activities""]"
18296398,Ambivalence,"[""Delete or Deactivate""]"
18298374,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
18315693,Change Talk,"[""Delete or Deactivate"", ""Increase Access Friction"", ""Set Rules or Goals""]"
18475067,Persuasion,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
18588814,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
18612871,Persuasion,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
18651835,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
18711634,Ambivalence,"[""Willpower and Discipline""]"
18748870,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
18754108,Ambivalence,"[""Set Rules or Goals""]"
18867355,Change Talk,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
19014682,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
19029592,Persuasion,[]
19058579,Persuasion,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
19111570,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Social Accountability""]"
19184528,Ambivalence,[]
19326009,Change Talk,"[""Willpower and Discipline""]"
19375711,Change Talk,[]
19399108,Change Talk,[]
19473906,Persuasion,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
19553160,Ambivalence,"[""Set Rules or Goals""]"
19759079,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
19782205,Ambivalence,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
19828723,Ambivalence,"[""Delete or Deactivate"", ""Willpower and Discipline""]"
19967229,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
20011079,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
20020906,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
20136979,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
20148682,Persuasion,"[""Modify Notifications"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
20270522,Ambivalence,"[""Set Rules or Goals""]"
20290386,Ambivalence,"[""Replace with Other Activities""]"
20391964,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
20397977,Ambivalence,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
20451569,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
20491381,Ambivalence,"[""Delete or Deactivate"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
20498742,Ambivalence,"[""Physical Separation"", ""Increase Access Friction"", ""Set Rules or Goals""]"
20567796,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Delete or Deactivate"", ""Increase Access Friction""]"
20583114,Change Talk,"[""Built-in Tracking/Restriction"", ""Modify Notifications"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
20685022,Persuasion,"[""Set Rules or Goals""]"
20747992,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
20761597,Persuasion,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
20775581,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
